starttime	seconds	ctime	dtime	ttime	wait
Mon Jan 30 17:52:23 2023	1675080443	0	52	52	44
Mon Jan 30 17:52:23 2023	1675080443	6	543	549	542
Mon Jan 30 17:52:23 2023	1675080443	6	597	603	597
Mon Jan 30 17:52:23 2023	1675080443	6	599	605	599
Mon Jan 30 17:52:23 2023	1675080443	6	604	610	603
Mon Jan 30 17:52:23 2023	1675080443	6	615	621	615
Mon Jan 30 17:52:23 2023	1675080443	6	624	630	623
Mon Jan 30 17:52:23 2023	1675080443	6	633	639	632
Mon Jan 30 17:52:23 2023	1675080443	6	673	678	672
Mon Jan 30 17:52:23 2023	1675080443	4	729	733	728
Mon Jan 30 17:52:23 2023	1675080443	4	747	751	747
Mon Jan 30 17:52:23 2023	1675080443	6	754	760	754
Mon Jan 30 17:52:23 2023	1675080443	4	756	760	756
Mon Jan 30 17:52:23 2023	1675080443	4	773	777	772
Mon Jan 30 17:52:23 2023	1675080443	6	773	779	773
Mon Jan 30 17:52:23 2023	1675080443	6	775	781	775
Mon Jan 30 17:52:23 2023	1675080443	6	782	788	781
Mon Jan 30 17:52:23 2023	1675080443	4	785	790	785
Mon Jan 30 17:52:23 2023	1675080443	5	790	795	789
Mon Jan 30 17:52:23 2023	1675080443	6	793	799	792
Mon Jan 30 17:52:23 2023	1675080443	5	802	808	802
Mon Jan 30 17:52:23 2023	1675080443	6	813	819	812
Mon Jan 30 17:52:23 2023	1675080443	6	814	820	813
Mon Jan 30 17:52:23 2023	1675080443	5	815	821	815
Mon Jan 30 17:52:23 2023	1675080443	4	823	828	822
Mon Jan 30 17:52:23 2023	1675080443	5	823	828	822
Mon Jan 30 17:52:23 2023	1675080443	6	824	831	823
Mon Jan 30 17:52:23 2023	1675080443	4	831	835	830
Mon Jan 30 17:52:23 2023	1675080443	4	833	837	833
Mon Jan 30 17:52:23 2023	1675080443	6	838	845	838
Mon Jan 30 17:52:23 2023	1675080443	5	846	851	845
Mon Jan 30 17:52:23 2023	1675080443	6	847	853	846
Mon Jan 30 17:52:23 2023	1675080443	6	851	857	851
Mon Jan 30 17:52:23 2023	1675080443	6	855	860	854
Mon Jan 30 17:52:23 2023	1675080443	5	859	865	859
Mon Jan 30 17:52:23 2023	1675080443	5	861	866	860
Mon Jan 30 17:52:23 2023	1675080443	5	867	872	866
Mon Jan 30 17:52:23 2023	1675080443	6	870	876	870
Mon Jan 30 17:52:23 2023	1675080443	4	884	889	884
Mon Jan 30 17:52:23 2023	1675080443	6	883	889	883
Mon Jan 30 17:52:23 2023	1675080443	6	884	890	883
Mon Jan 30 17:52:23 2023	1675080443	6	886	892	886
Mon Jan 30 17:52:23 2023	1675080443	6	887	892	886
Mon Jan 30 17:52:23 2023	1675080443	6	896	902	895
Mon Jan 30 17:52:23 2023	1675080443	6	897	903	896
Mon Jan 30 17:52:23 2023	1675080443	6	897	903	897
Mon Jan 30 17:52:23 2023	1675080443	5	905	911	905
Mon Jan 30 17:52:23 2023	1675080443	6	906	912	905
Mon Jan 30 17:52:23 2023	1675080443	5	912	918	912
Mon Jan 30 17:52:23 2023	1675080443	5	913	918	912
Mon Jan 30 17:52:24 2023	1675080444	0	928	928	927
Mon Jan 30 17:52:23 2023	1675080443	5	925	930	924
Mon Jan 30 17:52:23 2023	1675080443	6	928	934	927
Mon Jan 30 17:52:27 2023	1675080447	0	944	944	943
Mon Jan 30 17:52:23 2023	1675080443	5	939	944	938
Mon Jan 30 17:52:23 2023	1675080443	6	939	945	938
Mon Jan 30 17:52:24 2023	1675080444	1	946	946	945
Mon Jan 30 17:52:23 2023	1675080443	6	947	953	946
Mon Jan 30 17:52:23 2023	1675080443	6	950	956	950
Mon Jan 30 17:52:23 2023	1675080443	5	957	962	957
Mon Jan 30 17:52:23 2023	1675080443	6	960	966	960
Mon Jan 30 17:52:23 2023	1675080443	6	962	968	961
Mon Jan 30 17:52:31 2023	1675080451	0	969	969	969
Mon Jan 30 17:52:23 2023	1675080443	6	971	977	971
Mon Jan 30 17:52:23 2023	1675080443	6	972	978	971
Mon Jan 30 17:52:23 2023	1675080443	5	975	981	975
Mon Jan 30 17:52:23 2023	1675080443	6	975	981	975
Mon Jan 30 17:52:23 2023	1675080443	6	980	987	980
Mon Jan 30 17:52:23 2023	1675080443	6	985	991	985
Mon Jan 30 17:52:23 2023	1675080443	6	986	992	985
Mon Jan 30 17:52:23 2023	1675080443	6	988	994	987
Mon Jan 30 17:52:31 2023	1675080451	0	999	999	998
Mon Jan 30 17:52:23 2023	1675080443	6	996	1002	995
Mon Jan 30 17:52:24 2023	1675080444	0	1003	1003	1002
Mon Jan 30 17:52:24 2023	1675080444	0	1004	1004	1003
Mon Jan 30 17:52:23 2023	1675080443	6	998	1004	997
Mon Jan 30 17:52:27 2023	1675080447	0	1005	1005	1004
Mon Jan 30 17:52:24 2023	1675080444	0	1006	1006	1005
Mon Jan 30 17:52:24 2023	1675080444	0	1007	1007	1007
Mon Jan 30 17:52:25 2023	1675080445	0	1008	1009	1008
Mon Jan 30 17:52:31 2023	1675080451	0	1010	1011	1009
Mon Jan 30 17:52:24 2023	1675080444	0	1011	1011	1011
Mon Jan 30 17:52:24 2023	1675080444	0	1012	1013	1012
Mon Jan 30 17:52:27 2023	1675080447	0	1013	1013	1013
Mon Jan 30 17:52:30 2023	1675080450	0	1013	1014	1013
Mon Jan 30 17:52:27 2023	1675080447	0	1014	1014	1013
Mon Jan 30 17:52:23 2023	1675080443	6	1009	1015	1009
Mon Jan 30 17:52:24 2023	1675080444	0	1016	1016	1015
Mon Jan 30 17:52:41 2023	1675080461	0	1017	1018	1017
Mon Jan 30 17:52:30 2023	1675080450	1	1017	1018	1017
Mon Jan 30 17:52:25 2023	1675080445	0	1019	1019	1018
Mon Jan 30 17:52:25 2023	1675080445	0	1023	1023	1022
Mon Jan 30 17:52:24 2023	1675080444	0	1024	1024	1023
Mon Jan 30 17:52:23 2023	1675080443	6	1019	1025	1019
Mon Jan 30 17:52:24 2023	1675080444	0	1027	1027	1027
Mon Jan 30 17:52:23 2023	1675080443	6	1023	1029	1023
Mon Jan 30 17:52:31 2023	1675080451	0	1031	1031	1031
Mon Jan 30 17:52:24 2023	1675080444	0	1032	1032	1031
Mon Jan 30 17:52:27 2023	1675080447	0	1034	1034	1033
Mon Jan 30 17:52:48 2023	1675080468	0	1034	1035	1034
Mon Jan 30 17:52:23 2023	1675080443	6	1032	1038	1032
Mon Jan 30 17:52:34 2023	1675080454	0	1038	1039	1037
Mon Jan 30 17:52:34 2023	1675080454	0	1040	1041	1040
Mon Jan 30 17:52:31 2023	1675080451	0	1042	1042	1041
Mon Jan 30 17:52:30 2023	1675080450	0	1042	1042	1041
Mon Jan 30 17:52:27 2023	1675080447	0	1044	1044	1043
Mon Jan 30 17:52:25 2023	1675080445	0	1044	1044	1043
Mon Jan 30 17:52:34 2023	1675080454	0	1046	1046	1046
Mon Jan 30 17:52:23 2023	1675080443	6	1041	1047	1040
Mon Jan 30 17:52:41 2023	1675080461	0	1048	1048	1047
Mon Jan 30 17:52:25 2023	1675080445	0	1049	1049	1048
Mon Jan 30 17:52:31 2023	1675080451	0	1049	1049	1049
Mon Jan 30 17:52:26 2023	1675080446	0	1050	1050	1049
Mon Jan 30 17:52:23 2023	1675080443	6	1045	1051	1044
Mon Jan 30 17:52:26 2023	1675080446	0	1052	1052	1051
Mon Jan 30 17:52:34 2023	1675080454	0	1052	1052	1052
Mon Jan 30 17:52:26 2023	1675080446	0	1052	1053	1052
Mon Jan 30 17:52:28 2023	1675080448	0	1052	1053	1051
Mon Jan 30 17:52:26 2023	1675080446	0	1053	1053	1052
Mon Jan 30 17:52:25 2023	1675080445	0	1054	1054	1053
Mon Jan 30 17:52:48 2023	1675080468	0	1054	1054	1054
Mon Jan 30 17:52:23 2023	1675080443	6	1048	1054	1047
Mon Jan 30 17:52:31 2023	1675080451	0	1054	1054	1054
Mon Jan 30 17:52:31 2023	1675080451	0	1055	1055	1054
Mon Jan 30 17:52:26 2023	1675080446	0	1055	1055	1054
Mon Jan 30 17:52:31 2023	1675080451	0	1055	1055	1054
Mon Jan 30 17:52:31 2023	1675080451	0	1055	1056	1055
Mon Jan 30 17:52:26 2023	1675080446	0	1056	1056	1055
Mon Jan 30 17:52:31 2023	1675080451	0	1057	1057	1056
Mon Jan 30 17:52:48 2023	1675080468	0	1057	1057	1056
Mon Jan 30 17:52:26 2023	1675080446	0	1057	1058	1056
Mon Jan 30 17:52:26 2023	1675080446	0	1058	1058	1057
Mon Jan 30 17:52:31 2023	1675080451	0	1058	1058	1058
Mon Jan 30 17:52:26 2023	1675080446	0	1058	1058	1058
Mon Jan 30 17:52:39 2023	1675080459	0	1061	1061	1060
Mon Jan 30 17:52:48 2023	1675080468	0	1061	1061	1060
Mon Jan 30 17:52:27 2023	1675080447	0	1062	1062	1061
Mon Jan 30 17:52:26 2023	1675080446	0	1062	1063	1062
Mon Jan 30 17:52:39 2023	1675080459	0	1063	1063	1062
Mon Jan 30 17:52:31 2023	1675080451	0	1063	1063	1063
Mon Jan 30 17:52:26 2023	1675080446	0	1063	1063	1063
Mon Jan 30 17:52:31 2023	1675080451	0	1064	1064	1063
Mon Jan 30 17:52:31 2023	1675080451	0	1064	1064	1063
Mon Jan 30 17:52:27 2023	1675080447	0	1065	1065	1064
Mon Jan 30 17:52:26 2023	1675080446	0	1065	1065	1064
Mon Jan 30 17:52:30 2023	1675080450	0	1065	1065	1065
Mon Jan 30 17:52:34 2023	1675080454	0	1065	1066	1065
Mon Jan 30 17:52:27 2023	1675080447	0	1067	1067	1066
Mon Jan 30 17:52:29 2023	1675080449	0	1067	1067	1066
Mon Jan 30 17:52:27 2023	1675080447	0	1069	1069	1068
Mon Jan 30 17:52:34 2023	1675080454	0	1069	1069	1068
Mon Jan 30 17:52:48 2023	1675080468	0	1069	1069	1068
Mon Jan 30 17:52:25 2023	1675080445	0	1069	1069	1068
Mon Jan 30 17:52:27 2023	1675080447	0	1069	1069	1068
Mon Jan 30 17:52:41 2023	1675080461	0	1069	1069	1068
Mon Jan 30 17:52:28 2023	1675080448	0	1072	1073	1072
Mon Jan 30 17:52:34 2023	1675080454	0	1073	1074	1073
Mon Jan 30 17:52:29 2023	1675080449	0	1074	1074	1073
Mon Jan 30 17:52:31 2023	1675080451	0	1074	1074	1073
