starttime	seconds	ctime	dtime	ttime	wait
Mon Jan 30 17:51:14 2023	1675080374	0	111	111	102
Mon Jan 30 17:51:14 2023	1675080374	6	195	201	195
Mon Jan 30 17:51:14 2023	1675080374	6	655	661	654
Mon Jan 30 17:51:14 2023	1675080374	5	672	677	671
Mon Jan 30 17:51:14 2023	1675080374	6	689	695	689
Mon Jan 30 17:51:14 2023	1675080374	3	721	724	720
Mon Jan 30 17:51:14 2023	1675080374	5	729	734	728
Mon Jan 30 17:51:14 2023	1675080374	6	729	735	729
Mon Jan 30 17:51:14 2023	1675080374	6	735	741	734
Mon Jan 30 17:51:14 2023	1675080374	5	739	745	739
Mon Jan 30 17:51:14 2023	1675080374	5	739	745	739
Mon Jan 30 17:51:14 2023	1675080374	6	745	752	745
Mon Jan 30 17:51:14 2023	1675080374	5	753	758	752
Mon Jan 30 17:51:14 2023	1675080374	6	760	765	759
Mon Jan 30 17:51:14 2023	1675080374	5	778	784	778
Mon Jan 30 17:51:14 2023	1675080374	6	789	795	788
Mon Jan 30 17:51:14 2023	1675080374	6	793	799	793
Mon Jan 30 17:51:14 2023	1675080374	6	794	800	793
Mon Jan 30 17:51:14 2023	1675080374	6	798	804	798
Mon Jan 30 17:51:14 2023	1675080374	5	800	805	799
Mon Jan 30 17:51:14 2023	1675080374	6	805	811	805
Mon Jan 30 17:51:14 2023	1675080374	5	807	813	807
Mon Jan 30 17:51:14 2023	1675080374	5	808	814	808
Mon Jan 30 17:51:14 2023	1675080374	6	818	825	818
Mon Jan 30 17:51:14 2023	1675080374	6	819	825	818
Mon Jan 30 17:51:14 2023	1675080374	6	823	829	823
Mon Jan 30 17:51:14 2023	1675080374	6	824	829	823
Mon Jan 30 17:51:14 2023	1675080374	6	830	837	829
Mon Jan 30 17:51:40 2023	1675080400	0	839	839	838
Mon Jan 30 17:51:14 2023	1675080374	4	839	843	838
Mon Jan 30 17:51:14 2023	1675080374	6	843	848	842
Mon Jan 30 17:51:40 2023	1675080400	0	859	860	859
Mon Jan 30 17:51:40 2023	1675080400	0	870	870	869
Mon Jan 30 17:51:40 2023	1675080400	0	873	873	873
Mon Jan 30 17:51:40 2023	1675080400	0	883	883	882
Mon Jan 30 17:51:40 2023	1675080400	0	883	883	882
Mon Jan 30 17:51:40 2023	1675080400	0	903	903	903
Mon Jan 30 17:51:40 2023	1675080400	0	917	917	917
Mon Jan 30 17:51:14 2023	1675080374	6	926	932	926
Mon Jan 30 17:51:14 2023	1675080374	6	928	934	928
Mon Jan 30 17:51:40 2023	1675080400	0	943	943	942
Mon Jan 30 17:51:14 2023	1675080374	5	939	945	939
Mon Jan 30 17:51:40 2023	1675080400	0	945	945	945
Mon Jan 30 17:51:40 2023	1675080400	0	946	947	946
Mon Jan 30 17:51:40 2023	1675080400	0	948	948	947
Mon Jan 30 17:51:15 2023	1675080375	0	949	949	948
Mon Jan 30 17:51:14 2023	1675080374	6	946	951	945
Mon Jan 30 17:51:40 2023	1675080400	1	955	956	955
Mon Jan 30 17:51:40 2023	1675080400	0	960	960	959
Mon Jan 30 17:51:14 2023	1675080374	4	958	962	957
Mon Jan 30 17:51:14 2023	1675080374	5	957	962	956
Mon Jan 30 17:51:14 2023	1675080374	5	960	965	960
Mon Jan 30 17:51:40 2023	1675080400	0	968	968	967
Mon Jan 30 17:51:40 2023	1675080400	0	970	971	970
Mon Jan 30 17:51:40 2023	1675080400	0	971	971	970
Mon Jan 30 17:51:14 2023	1675080374	5	968	973	968
Mon Jan 30 17:51:14 2023	1675080374	4	969	973	968
Mon Jan 30 17:51:15 2023	1675080375	0	975	975	974
Mon Jan 30 17:51:15 2023	1675080375	0	975	975	975
Mon Jan 30 17:51:15 2023	1675080375	0	976	976	975
Mon Jan 30 17:51:40 2023	1675080400	0	977	978	976
Mon Jan 30 17:51:15 2023	1675080375	0	978	978	978
